standard.orth	phonetic.orth	standard.phones	zipf	fpmw
bout	boot	B AW1 T	3.74	5.5231166271638
outfits	ootfits	AW1 T F IH2 T S	3.74	5.44861415467508
owls	ools	AW1 L Z	3.74	5.44364732317583
roundabout	roondabout	R AW1 N D AH0 B AW2 T	3.73	5.32444336719388
meow	meoo	M IY0 AW1	3.71	5.15557109621945
bounced	boonced	B AW1 N S T	3.7	5.03636714023749
outbreaks	ootbreaks	AW1 T B R EY2 K S	3.7	5.06616812923298
snout	snoot	S N AW1 T	3.7	5.06616812923298
mounting	moonting	M AW1 N T IH0 NG	3.69	4.85259437476532
rounded	roonded	R AW1 N D AH0 D	3.69	4.84762754326607
accountant	accoontant	AH0 K AW1 N T AH0 N T	3.68	4.82279338576983
countdown	coontdown	K AW1 N T D AW2 N	3.68	4.7681582392781
countless	coontless	K AW1 N T L AH0 S	3.68	4.77312507077735
drowned	drooned	D R AW1 N D	3.68	4.78305873377585
outline	ootline	AW1 T L AY2 N	3.68	4.83272704876832
coward	cooard	K AW1 ER0 D	3.67	4.68868893529013
fountain	foontain	F AW1 N T AH0 N	3.67	4.69365576678938
announcing	annooncing	AH0 N AW1 N S IH0 NG	3.66	4.53968399031269
pow	poo	P AW1	3.66	4.55955131630968
hound	hoond	HH AW1 N D	3.65	4.45524785482548
outcomes	ootcomes	AW1 T K AH2 M Z	3.65	4.51484983281645
counterfeit	coonterfeit	K AW1 N ER0 F IH2 T	3.64	4.32114340434578
plough	ploogh	P L AW1	3.64	4.39067904533525
flowering	flooering	F L AW1 ER0 IH0 NG	3.63	4.2615414263548
grounded	groonded	G R AW1 N D AH0 D	3.63	4.28637558385104
announcements	annooncements	AH0 N AW1 N S M AH0 N T S	3.62	4.16717162786909
couch	cooch	K AW1 CH	3.62	4.12743697587511
outta	ootta	AW1 T AH0	3.62	4.13240380737435
sow	soo	S AW1	3.62	4.18207212236683
sprouts	sproots	S P R AW1 T S	3.62	4.17710529086759
allowances	allooances	AH0 L AW1 AH0 N S AH0 Z	3.61	4.03306717738939
drown	droon	D R AW1 N	3.61	4.02810034589015
downturn	doonturn	D AW1 N T ER2 N	3.59	3.92876371590519
gown	goon	G AW1 N	3.59	3.86916173791421
outlined	ootlined	AW1 T L AY2 N D	3.59	3.90889638990819
surround	surroond	S ER0 AW1 N D	3.59	3.90392955840895
aloud	alood	AH0 L AW1 D	3.58	3.78969243392624
cowboys	cooboys	K AW1 B OY2 Z	3.58	3.7747919394285
downside	doonside	D AW1 N S AY2 D	3.58	3.83936074891872
drowning	drooning	D R AW1 N IH0 NG	3.58	3.79465926542549
outrage	ootrage	AW1 T R EY2 JH	3.58	3.83439391741947
encountered	encoontered	EH0 N K AW1 N ER0 D	3.57	3.73505728743451
pronounce	pronoonce	P R AH0 N AW1 N S	3.57	3.70525629843902
