standard.orth	phonetic.orth	standard.phones	zipf	fpmw
surmounted	surmoonted	S ER0 M AW1 N T AH0 D	1.95	0.0844361354872164
trouncing	trooncing	T R AW1 N S IH0 NG	1.95	0.0844361354872164
astounds	astoonds	AH0 S T AW1 N D Z	1.93	0.0794693039879684
councilor	cooncilor	K AW1 N S AH0 L ER0	1.93	0.0794693039879684
counteracted	coonteracted	K AW1 N T ER0 AE2 K T AH0 D	1.93	0.0794693039879684
doubter	doobter	D AW1 T ER0	1.93	0.0794693039879684
dougan	doogan	D AW1 G AH0 N	1.93	0.0794693039879684
dowels	dooels	D AW1 AH0 L Z	1.93	0.0794693039879684
downstage	doonstage	D AW1 N S T EY2 JH	1.93	0.0794693039879684
foulness	foolness	F AW1 L N AH0 S	1.93	0.0794693039879684
howitzer	hooitzer	HH AW1 AH0 T S ER0	1.93	0.0794693039879684
jowett	jooett	JH AW1 EH0 T	1.93	0.0794693039879684
jowls	jools	JH AW1 L Z	1.93	0.0794693039879684
outage	ootage	AW1 T AH0 JH	1.93	0.0794693039879684
outpacing	ootpacing	AW1 T P EY2 S IH0 NG	1.93	0.0794693039879684
vouched	vooched	V AW1 CH T	1.93	0.0794693039879684
bouton	booton	B AW1 T AH0 N	1.9	0.0745024724887203
cloudburst	cloodburst	K L AW1 D B ER2 S T	1.9	0.0745024724887203
dowie	dooie	D AW1 IY0	1.9	0.0745024724887203
glower	glooer	G L AW1 ER0	1.9	0.0745024724887203
mountaintop	moontaintop	M AW1 N T AH0 N T AA2 P	1.9	0.0745024724887203
outclass	ootclass	AW1 T K L AE2 S	1.9	0.0745024724887203
outlier	ootlier	AW1 T L AY0 ER0	1.9	0.0745024724887203
poundage	poondage	P AW1 N D IH0 JH	1.9	0.0745024724887203
scoutmaster	scootmaster	S K AW1 T M AE2 S T ER0	1.9	0.0745024724887203
townes	toones	T AW1 N Z	1.9	0.0745024724887203
brownsville	broonsville	B R AW1 N Z V IH2 L	1.87	0.0695356409894723
dowse	doose	D AW1 S	1.87	0.0695356409894723
espousing	espoosing	AH0 S P AW1 S IH0 NG	1.87	0.0695356409894723
glowering	glooering	G L AW1 ER0 IH0 NG	1.87	0.0695356409894723
mispronounce	mispronoonce	M IH2 S P R AH0 N AW1 N S	1.87	0.0695356409894723
mouthparts	moothparts	M AW1 TH P AA2 R T S	1.87	0.0695356409894723
powwow	poowow	P AW1 W AW2	1.87	0.0695356409894723
unaccountably	unaccoontably	AH2 N AH0 K AW1 N T AH0 B L IY0	1.87	0.0695356409894723
blabbermouth	blabbermooth	B L AE1 B ER0 M AW1 TH	1.84	0.0645688094902243
counteracts	coonteracts	K AW1 N T ER0 AE2 K T S	1.84	0.0645688094902243
downdraft	doondraft	D AW1 N D R AE2 F T	1.84	0.0645688094902243
endow	endoo	EH0 N D AW1	1.84	0.0645688094902243
loughner	looghner	L AW1 N ER0	1.84	0.0645688094902243
outdid	ootdid	AW1 T D IH2 D	1.84	0.0645688094902243
proudfoot	proodfoot	P R AW1 D F UH2 T	1.84	0.0645688094902243
counterfeiter	coonterfeiter	K AW1 N ER0 F IH2 T ER0	1.81	0.0596019779909763
cowles	cooles	K AW1 AH0 L Z	1.81	0.0596019779909763
expounded	expoonded	IH0 K S P AW1 N D AH0 D	1.81	0.0596019779909763
fowles	fooles	F AW1 AH0 L Z	1.81	0.0596019779909763
mcgough	mcgoogh	M AH0 G AW1	1.81	0.0596019779909763
mountaintops	moontaintops	M AW1 N T AH0 N T AA2 P S	1.81	0.0596019779909763
outbidding	ootbidding	AW1 T B IH2 D IH0 NG	1.81	0.0596019779909763
outfitter	ootfitter	AW1 T F IH2 T ER0	1.81	0.0596019779909763
plowman	plooman	P L AW1 M AH0 N	1.81	0.0596019779909763
spouted	spooted	S P AW1 T AH0 D	1.81	0.0596019779909763
thousandths	thoosandths	TH AW1 Z AH0 N D TH S	1.81	0.0596019779909763
towner	tooner	T AW1 N ER0	1.81	0.0596019779909763
unbowed	unbooed	AH0 N B AW1 D	1.81	0.0596019779909763
cloudiness	cloodiness	K L AW1 D IY0 N AH0 S	1.77	0.0546351464917282
countervailing	coontervailing	K AW1 N T ER0 V EY2 L IH0 NG	1.77	0.0546351464917282
crowne	croone	K R AW1 N	1.77	0.0546351464917282
disallow	disalloo	D IH2 S AH0 L AW1	1.77	0.0546351464917282
expound	expoond	IH0 K S P AW1 N D	1.77	0.0546351464917282
rerouting	rerooting	R IY0 R AW1 T IH0 NG	1.77	0.0546351464917282
roundtree	roondtree	R AW1 N D T R IY2	1.77	0.0546351464917282
scrounged	scroonged	S K R AW1 N JH D	1.77	0.0546351464917282
southwick	soothwick	S AW1 TH W IH0 K	1.77	0.0546351464917282
arounds	aroonds	ER0 AW1 N D Z	1.74	0.0496683149924802
boulanger	boolanger	B AW1 L AH0 NG ER0	1.74	0.0496683149924802
browed	brooed	B R AW1 D	1.74	0.0496683149924802
brownstone	broonstone	B R AW1 N S T OW2 N	1.74	0.0496683149924802
counterclaim	coonterclaim	K AW1 N T ER0 K L EY2 M	1.74	0.0496683149924802
denounces	denoonces	D AH0 N AW1 N S AH0 Z	1.74	0.0496683149924802
disavow	disavoo	D IH2 S AH0 V AW1	1.74	0.0496683149924802
foundering	foondering	F AW1 N D ER0 IH0 NG	1.74	0.0496683149924802
hout	hoot	HH AW1 T	1.74	0.0496683149924802
outfitted	ootfitted	AW1 T F IH2 T AH0 D	1.74	0.0496683149924802
outgrowing	ootgrowing	AW1 T G R OW2 IH0 NG	1.74	0.0496683149924802
southland	soothland	S AW1 TH L AE2 N D	1.74	0.0496683149924802
abounding	aboonding	AH0 B AW1 N D IH0 NG	1.7	0.0447014834932322
bouch	booch	B AW1 CH	1.7	0.0447014834932322
bounciness	boonciness	B AW1 N S IY0 N AH0 S	1.7	0.0447014834932322
bounties	boonties	B AW1 N T IY0 Z	1.7	0.0447014834932322
bour	boor	B AW1 R	1.7	0.0447014834932322
doub	doob	D AW1 B	1.7	0.0447014834932322
flounces	floonces	F L AW1 N S AH0 Z	1.7	0.0447014834932322
howitt	hooitt	HH AW1 IH2 T	1.7	0.0447014834932322
loughney	looghney	L AW1 N IY0	1.7	0.0447014834932322
mountainsides	moontainsides	M AW1 N T AH0 N S AY2 D Z	1.7	0.0447014834932322
mouthpieces	moothpieces	M AW1 TH P IY2 S AH0 Z	1.7	0.0447014834932322
outrigger	ootrigger	AW1 T R IH2 G ER0	1.7	0.0447014834932322
poulson	poolson	P AW1 L S AH0 N	1.7	0.0447014834932322
roulston	roolston	R AW1 L S T AH0 N	1.7	0.0447014834932322
rowdiness	roodiness	R AW1 D IY0 N AH0 S	1.7	0.0447014834932322
surmount	surmoont	S ER0 M AW1 N T	1.7	0.0447014834932322
surmounting	surmoonting	S ER0 M AW1 N T IH0 NG	1.7	0.0447014834932322
thous	thoos	DH AW1 Z	1.7	0.0447014834932322
vowles	vooles	V AW1 AH0 L Z	1.7	0.0447014834932322
bowater	booater	B AW1 AH2 T ER0	1.65	0.0397346519939842
counseling	coonseling	K AW1 N S AH0 L IH0 NG	1.65	0.0397346519939842
disallowance	disallooance	D IH2 S AH0 L AW1 AH0 N S	1.65	0.0397346519939842
downscale	doonscale	D AW1 N S K EY2 L	1.65	0.0397346519939842
espouses	espooses	AH0 S P AW1 S AH0 Z	1.65	0.0397346519939842
expounding	expoonding	IH0 K S P AW1 N D IH0 NG	1.65	0.0397346519939842
glowered	glooered	G L AW1 ER0 D	1.65	0.0397346519939842
groundskeeper	groondskeeper	G R AW1 N D S K IY2 P ER0	1.65	0.0397346519939842
outgrowth	ootgrowth	AW1 T G R OW2 TH	1.65	0.0397346519939842
outperforms	ootperforms	AW1 T P ER0 F AO1 R M Z	1.65	0.0397346519939842
outraging	ootraging	AW1 T R EY2 JH IH0 NG	1.65	0.0397346519939842
outrider	ootrider	AW1 T R AY2 D ER0	1.65	0.0397346519939842
plowright	plooright	P L AW1 R AY2 T	1.65	0.0397346519939842
pouts	poots	P AW1 T S	1.65	0.0397346519939842
pouty	pooty	P AW1 T IY0	1.65	0.0397346519939842
pownall	poonall	P AW1 N AH0 L	1.65	0.0397346519939842
propounded	propoonded	P R AH0 P AW1 N D AH0 D	1.65	0.0397346519939842
soundness	soondness	S AW1 N D N AH0 S	1.65	0.0397346519939842
southdown	soothdown	S AW1 TH D AW2 N	1.65	0.0397346519939842
uncountable	uncoontable	AH0 N K AW1 N T AH0 B AH0 L	1.65	0.0397346519939842
yousif	yoosif	Y AW1 S IH2 F	1.65	0.0397346519939842
bialkowski	bialkooski	B IY0 AH0 L K AW1 S K IY0	1.6	0.0347678204947362
blount	bloont	B L AW1 N T	1.6	0.0347678204947362
clowes	clooes	K L AW1 Z	1.6	0.0347678204947362
counsell	coonsell	K AW1 N S AH0 L	1.6	0.0347678204947362
cowbells	coobells	K AW1 B EH2 L Z	1.6	0.0347678204947362
cowherd	cooherd	K AW1 HH ER2 D	1.6	0.0347678204947362
cowries	coories	K AW1 R IY0 Z	1.6	0.0347678204947362
disavowed	disavooed	D IH2 S AH0 V AW1 D	1.6	0.0347678204947362
fowle	foole	F AW1 AH0 L	1.6	0.0347678204947362
gowans	gooans	G AW1 AH0 N Z	1.6	0.0347678204947362
howitzers	hooitzers	HH AW1 AH0 T S ER0 Z	1.6	0.0347678204947362
khoury	khoory	K AW1 R IY0	1.6	0.0347678204947362
loughran	looghran	L AW1 R AH0 N	1.6	0.0347678204947362
loughry	looghry	L AW1 R IY0	1.6	0.0347678204947362
outerwear	ooterwear	AW1 T ER0 W EH2 R	1.6	0.0347678204947362
outfitting	ootfitting	AW1 T F IH2 T IH0 NG	1.6	0.0347678204947362
outweighing	ootweighing	AW1 T W EY2 IH0 NG	1.6	0.0347678204947362
renounces	renoonces	R IH2 N AW1 N S AH0 Z	1.6	0.0347678204947362
scowled	scooled	S K AW1 L D	1.6	0.0347678204947362
afoul	afool	AH0 F AW1 L	1.54	0.0298009889954881
brownson	broonson	B R AW1 N S AH0 N	1.54	0.0298009889954881
counterclaims	coonterclaims	K AW1 N T ER0 K L EY2 M Z	1.54	0.0298009889954881
countermeasure	coontermeasure	K AW1 N ER0 M EH2 ZH ER0	1.54	0.0298009889954881
daoud	daood	D AW1 D	1.54	0.0298009889954881
facedown	facedoon	F EY2 S D AW1 N	1.54	0.0298009889954881
gowan	gooan	G AW1 AH0 N	1.54	0.0298009889954881
houseguest	hooseguest	HH AW1 S G EH0 S T	1.54	0.0298009889954881
housings	hoosings	HH AW1 Z IH0 NG Z	1.54	0.0298009889954881
howser	hooser	HH AW1 Z ER0	1.54	0.0298009889954881
lowery	looery	L AW1 ER0 IY0	1.54	0.0298009889954881
mouser	mooser	M AW1 Z ER0	1.54	0.0298009889954881
plow	ploo	P L AW1	1.54	0.0298009889954881
plows	ploos	P L AW1 Z	1.54	0.0298009889954881
powergen	pooergen	P AW1 ER0 JH EH2 N	1.54	0.0298009889954881
townsley	toonsley	T AW1 N S L IY0	1.54	0.0298009889954881
brower	brooer	B R AW1 ER0	1.47	0.0248341574962401
countdowns	coontdowns	K AW1 N T D AW2 N Z	1.47	0.0248341574962401
countenanced	coontenanced	K AW1 N T AH0 N AH0 N S T	1.47	0.0248341574962401
countermeasures	coontermeasures	K AW1 N ER0 M EH2 ZH ER0 Z	1.47	0.0248341574962401
discounters	discoonters	D IH2 S K AW1 N T ER0 Z	1.47	0.0248341574962401
downwardly	doonwardly	D AW1 N W ER0 D L IY0	1.47	0.0248341574962401
endowing	endooing	EH0 N D AW1 IH0 NG	1.47	0.0248341574962401
goudie	goodie	G AW1 D IY0	1.47	0.0248341574962401
gouty	gooty	G AW1 T IY0	1.47	0.0248341574962401
hougham	hoogham	HH AW1 AH0 M	1.47	0.0248341574962401
houten	hooten	HH AW1 T EH0 N	1.47	0.0248341574962401
howey	hooey	HH AW1 IY0	1.47	0.0248341574962401
howk	hook	HH AW1 K	1.47	0.0248341574962401
miscount	miscoont	M IH1 S K AW1 N T	1.47	0.0248341574962401
mounsey	moonsey	M AW1 N S IY0	1.47	0.0248341574962401
outflows	ootflows	AW1 T F L OW2 Z	1.47	0.0248341574962401
outguess	ootguess	AW1 T G EH2 S	1.47	0.0248341574962401
plowing	plooing	P L AW1 IH0 NG	1.47	0.0248341574962401
powerbook	pooerbook	P AW1 ER0 B UH2 K	1.47	0.0248341574962401
powter	pooter	P AW1 T ER0	1.47	0.0248341574962401
roundworm	roondworm	R AW1 N D W ER0 M	1.47	0.0248341574962401
rowdies	roodies	R AW1 D IY0 Z	1.47	0.0248341574962401
scow	scoo	S K AW1	1.47	0.0248341574962401
slouches	slooches	S L AW1 CH AH0 Z	1.47	0.0248341574962401
southwood	soothwood	S AW1 TH W UH2 D	1.47	0.0248341574962401
spousal	spoosal	S P AW1 Z AH0 L	1.47	0.0248341574962401
towners	tooners	T AW1 N ER0 Z	1.47	0.0248341574962401
ultrasounds	ultrasoonds	AH2 L T R AH0 S AW1 N D Z	1.47	0.0248341574962401
uncounted	uncoonted	AH2 N K AW1 N T AH0 D	1.47	0.0248341574962401
browbeat	broobeat	B R AW1 B IY2 T	1.39	0.0198673259969921
cowgill	coogill	K AW1 G IH2 L	1.39	0.0198673259969921
crowden	crooden	K R AW1 D AH0 N	1.39	0.0198673259969921
disallowing	disallooing	D IH2 S AH0 L AW1 IH0 NG	1.39	0.0198673259969921
dowland	dooland	D AW1 L AH0 N D	1.39	0.0198673259969921
fout	foot	F AW1 T	1.39	0.0198673259969921
houchen	hoochen	HH AW1 K AH0 N	1.39	0.0198673259969921
housebroken	hoosebroken	HH AW1 S B R OW2 K AH0 N	1.39	0.0198673259969921
kowal	kooal	K AW1 AH0 L	1.39	0.0198673259969921
lour	loor	L AW1 R	1.39	0.0198673259969921
n'dour	n'door	N D AW1 R	1.39	0.0198673259969921
outcries	ootcries	AW1 T K R AY2 Z	1.39	0.0198673259969921
outfielder	ootfielder	AW1 T F IY2 L D ER0	1.39	0.0198673259969921
powerball	pooerball	P AW1 ER0 B AO2 L	1.39	0.0198673259969921
propound	propoond	P R AH0 P AW1 N D	1.39	0.0198673259969921
proulx	proolx	P R AW1 L K S	1.39	0.0198673259969921
southfield	soothfield	S AW1 TH F IY2 L D	1.39	0.0198673259969921
sproul	sprool	S P R AW1 L	1.39	0.0198673259969921
vouching	vooching	V AW1 CH IH0 NG	1.39	0.0198673259969921
avow	avoo	AH0 V AW1	1.3	0.0149004944977441
avowedly	avooedly	AH0 V AW1 AH0 D L IY0	1.3	0.0149004944977441
burnouts	burnoots	B ER1 N AW1 T	1.3	0.0149004944977441
coull	cooll	K AW1 L	1.3	0.0149004944977441
couser	cooser	K AW1 S ER0	1.3	0.0149004944977441
doud	dood	D AW1 D	1.3	0.0149004944977441
dowden	dooden	D AW1 D AH0 N	1.3	0.0149004944977441
enshrouded	enshrooded	AH0 N SH R AW1 D AH0 D	1.3	0.0149004944977441
fouse	foose	F AW1 S	1.3	0.0149004944977441
grousing	groosing	G R AW1 S IH0 NG	1.3	0.0149004944977441
housden	hoosden	HH AW1 S D AH0 N	1.3	0.0149004944977441
housewares	hoosewares	HH AW1 S W EH2 R Z	1.3	0.0149004944977441
howton	hooton	HH AW1 T AH0 N	1.3	0.0149004944977441
louden	looden	L AW1 D AH0 N	1.3	0.0149004944977441
moul	mool	M AW1 L	1.3	0.0149004944977441
outlays	ootlays	AW1 T L EY2 Z	1.3	0.0149004944977441
outspending	ootspending	AW1 T S P EH2 N D IH0 NG	1.3	0.0149004944977441
powley	pooley	P AW1 L IY0	1.3	0.0149004944977441
roundworms	roondworms	R AW1 N D W ER0 M Z	1.3	0.0149004944977441
soundest	soondest	S AW1 N D AH0 S T	1.3	0.0149004944977441
towne	toone	T AW1 N	1.3	0.0149004944977441
trower	trooer	T R AW1 ER0	1.3	0.0149004944977441
wowie	wooie	W AW1 IY0	1.3	0.0149004944977441
broward	brooard	B R AW1 ER0 D	1.17	0.00993366299849604
brownley	broonley	B R AW1 N L IY0	1.17	0.00993366299849604
carouse	caroose	K ER0 AW1 Z	1.17	0.00993366299849604
cofounder	cofoonder	K OW2 F AW1 N D ER0	1.17	0.00993366299849604
counterattacks	coonterattacks	K AW1 N ER0 AH0 T AE2 K S	1.17	0.00993366299849604
countermove	coontermove	K AW1 N T ER0 M UW2 V	1.17	0.00993366299849604
countertop	coontertop	K AW1 N ER0 T AA2 P	1.17	0.00993366299849604
cowart	cooart	K AW1 AA0 R T	1.17	0.00993366299849604
cowden	cooden	K AW1 D AH0 N	1.17	0.00993366299849604
cowperthwaite	cooperthwaite	K AW1 P ER0 TH W EY2 T	1.17	0.00993366299849604
crouse	croose	K R AW1 S	1.17	0.00993366299849604
desousa	desoosa	D IH2 S AW1 S AH0	1.17	0.00993366299849604
disavowing	disavooing	D IH2 S AH0 V AW1 IH0 NG	1.17	0.00993366299849604
dowds	doods	D AW1 D Z	1.17	0.00993366299849604
downgradings	doongradings	D AW1 N G R EY0 D IH0 NG Z	1.17	0.00993366299849604
downplays	doonplays	D AW1 N P L EY2 Z	1.17	0.00993366299849604
downrange	doonrange	D AW1 N R EY2 N JH	1.17	0.00993366299849604
downswing	doonswing	D AW1 N S W IH0 NG	1.17	0.00993366299849604
houghs	hooghs	HH AW1 Z	1.17	0.00993366299849604
housecleaning	hoosecleaning	HH AW1 S K L IY2 N IH0 NG	1.17	0.00993366299849604
houseware	hooseware	HH AW1 S W EH2 R	1.17	0.00993366299849604
impoundment	impoondment	IH2 M P AW1 N D M AH0 N T	1.17	0.00993366299849604
khouri	khoori	K AW1 R IY0	1.17	0.00993366299849604
kouns	koons	K AW1 N Z	1.17	0.00993366299849604
mcgowen	mcgooen	M AH0 G AW1 AH0 N	1.17	0.00993366299849604
mousley	moosley	M AW1 S L IY0	1.17	0.00993366299849604
nowaday	nooaday	N AW1 AH0 D EY2	1.17	0.00993366299849604
nowlan	noolan	N AW1 L AH0 N	1.17	0.00993366299849604
ouster	ooster	AW1 S T ER0	1.17	0.00993366299849604
outgun	ootgun	AW1 T G AH2 N	1.17	0.00993366299849604
outland	ootland	AW1 T L AE2 N D	1.17	0.00993366299849604
outpaces	ootpaces	AW1 T P EY2 S AH0 Z	1.17	0.00993366299849604
outskirt	ootskirt	AW1 T S K ER2 T	1.17	0.00993366299849604
outspend	ootspend	AW1 T S P EH2 N D	1.17	0.00993366299849604
pouter	pooter	P AW1 T ER0	1.17	0.00993366299849604
proudlock	proodlock	P R AW1 D L AA0 K	1.17	0.00993366299849604
prouse	proose	P R AW1 S	1.17	0.00993366299849604
prows	proos	P R AW1 Z	1.17	0.00993366299849604
shoutout	shootout	SH AW1 T AW2 T	1.17	0.00993366299849604
southway	soothway	S AW1 TH W EY2	1.17	0.00993366299849604
southworth	soothworth	S AW1 TH W ER0 TH	1.17	0.00993366299849604
townsman	toonsman	T AW1 N Z M AH0 N	1.17	0.00993366299849604
